U12 BOYS' GAMES BY TIME:

Date & Time, Home Team, Away Team, Field, Division, Region
    2017-05-05 12:00:00, Team 3 Boys, Team 9 Boys, McAuliffe Field, U12, R64
    2017-05-05 12:00:00, Bye
    2017-05-05 13:30:00, Team 7 Boys, Team 5 Boys, R27 Field 1, U12, R27
    2017-05-05 13:30:00, Team 12 Boys, Team 13 Boys, R1631 Field 1, U12, R1631
    2017-05-05 15:00:00, Team 8 Boys, Team 4 Boys, R27 Field 1, U12, R27
    2017-05-05 15:00:00, Team 10 Boys, Team 2 Boys, Manzanita Field 1, U12, R256

Week 10:
    2017-05-12 10:30:00, Team 4 Boys, Team 6 Boys, McAuliffe Field, U12, R64
    2017-05-12 10:30:00, Team 13 Boys, Team 10 Boys, R1590 Field 1, U12, R1590
    2017-05-12 13:30:00, Bye
    2017-05-12 13:30:00, Team 11 Boys, Team 12 Boys, R1631 Field 1, U12, R1631
    2017-05-12 15:00:00, Team 5 Boys, Team 1 Boys, Kennedy Middle Field, U12, R35
    2017-05-12 15:00:00, Team 3 Boys, Team 7 Boys, McAuliffe Field, U12, R64
    2017-05-12 15:00:00, Team 2 Boys, Team 8 Boys, Miller East Field, U12, R64

